LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760380452.086822,466958.000,9946,1,BV,1,100,3.86
1760380457.085519,471957.000,10772,1,BV,1,100,3.86
1760380462.085217,476957.000,11606,1,BV,1,100,3.86
1760380467.083915,481956.000,12435,1,BV,1,100,3.86
1760380472.083613,486956.000,13262,1,BV,1,100,3.86
1760380477.082311,491955.000,14108,1,BV,1,100,3.86
1760380482.082009,496955.000,14947,1,BV,1,100,3.86
1760380487.080707,501954.000,15781,1,BV,1,100,3.86
1760380492.080405,506954.000,16615,1,BV,1,100,3.86
1760380497.079103,511953.000,17467,1,BV,1,100,3.85
1760380502.078800,516953.000,18295,1,BV,1,100,3.85
1760380507.077498,521952.000,19130,1,BV,1,100,3.86
1760380512.077196,526952.000,19964,1,BV,1,100,3.86
1760380517.075894,531951.000,20800,1,BV,1,100,3.85
1760380522.075592,536951.000,21646,1,BV,1,100,3.86
1760380527.074290,541950.000,22486,1,BV,1,100,3.86
1760380532.073988,546950.000,23315,1,BV,1,100,3.86
1760380537.072686,551949.000,24148,1,BV,1,100,3.86
1760380542.072384,556949.000,25001,1,BV,1,100,3.86
1760380547.071081,561948.000,25833,1,BV,1,100,3.85
1760380552.070779,566948.000,26662,1,BV,1,100,3.85
1760380557.069477,571947.000,27502,1,BV,1,100,3.85
1760380562.069175,576947.000,28341,1,BV,1,100,3.86
1760380567.067873,581946.000,29174,1,BV,1,100,3.85
1760380572.067571,586946.000,30002,1,BV,1,100,3.85
