LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760380448.121061,462992.000,9272,2,EA,1,100,0.058781
1760380448.121061,462992.000,9272,2,EA,1,100,0.058569
1760380448.188057,463059.000,9289,1,EA,1,100,0.058402
1760380448.254553,463125.500,9305,2,EA,1,100,0.058249
1760380448.321049,463192.000,9305,2,EA,1,100,0.058291
1760380448.388045,463259.000,9322,1,EA,1,100,0.058500
1760380448.454541,463325.500,9337,2,EA,1,100,0.058491
1760380448.521037,463392.000,9337,2,EA,1,100,0.058390
1760380448.588033,463459.000,9354,1,EA,1,100,0.058461
1760380448.654529,463525.500,9370,2,EA,1,100,0.058641
1760380448.721025,463592.000,9370,2,EA,1,100,0.058591
1760380448.788021,463659.000,9388,1,EA,1,100,0.058450
1760380448.854517,463725.500,9404,2,EA,1,100,0.058308
1760380448.921013,463792.000,9404,2,EA,1,100,0.058200
1760380448.988009,463859.000,9421,1,EA,1,100,0.058300
1760380449.054505,463925.500,9438,2,EA,1,100,0.058438
1760380449.121001,463992.000,9438,2,EA,1,100,0.058444
1760380449.187997,464059.000,9455,1,EA,1,100,0.058427
1760380449.254493,464125.500,9469,2,EA,1,100,0.058528
1760380449.320989,464192.000,9469,2,EA,1,100,0.058702
1760380449.387985,464259.000,9486,1,EA,1,100,0.058567
1760380449.454481,464325.500,9503,2,EA,1,100,0.058388
1760380449.520977,464392.000,9503,2,EA,1,100,0.058261
1760380449.587972,464459.000,9520,1,EA,1,100,0.058186
1760380449.654469,464525.500,9535,2,EA,1,100,0.058259
1760380449.720964,464592.000,9535,2,EA,1,100,0.058346
1760380449.787961,464659.000,9552,1,EA,1,100,0.058331
1760380449.854456,464725.500,9568,2,EA,1,100,0.058290
1760380449.920952,464792.000,9568,2,EA,1,100,0.058457
1760380449.987948,464859.000,9585,1,EA,1,100,0.058554
1760380450.054444,464925.500,9603,2,EA,1,100,0.058418
1760380450.120940,464992.000,9603,2,EA,1,100,0.058275
1760380450.187436,465058.500,9619,2,EA,1,100,0.058165
1760380450.253932,465125.000,9619,2,EA,1,100,0.058133
1760380450.320928,465192.000,9635,1,EA,1,100,0.058272
1760380450.387424,465258.500,9653,2,EA,1,100,0.058391
1760380450.453920,465325.000,9653,2,EA,1,100,0.058356
1760380450.520916,465392.000,9669,1,EA,1,100,0.058350
1760380450.587412,465458.500,9684,2,EA,1,100,0.058561
1760380450.653908,465525.000,9684,2,EA,1,100,0.058510
1760380450.720904,465592.000,9700,1,EA,1,100,0.058342
1760380450.787400,465658.500,9718,2,EA,1,100,0.058204
1760380450.853896,465725.000,9718,2,EA,1,100,0.058098
1760380450.920892,465792.000,9734,1,EA,1,100,0.058183
1760380450.987388,465858.500,9749,2,EA,1,100,0.058338
1760380451.053884,465925.000,9749,2,EA,1,100,0.058323
1760380451.120880,465992.000,9766,1,EA,1,100,0.058226
1760380451.187376,466058.500,9783,2,EA,1,100,0.058315
1760380451.253872,466125.000,9783,2,EA,1,100,0.058413
1760380451.320868,466192.000,9799,1,EA,1,100,0.058338
1760380451.387364,466258.500,9817,2,EA,1,100,0.058228
1760380451.453860,466325.000,9817,2,EA,1,100,0.058115
1760380451.520856,466392.000,9833,1,EA,1,100,0.058102
1760380451.587352,466458.500,9850,2,EA,1,100,0.058219
1760380451.653848,466525.000,9850,2,EA,1,100,0.058310
1760380451.720844,466592.000,9866,1,EA,1,100,0.058347
1760380451.787340,466658.500,9882,2,EA,1,100,0.058312
1760380451.853836,466725.000,9882,2,EA,1,100,0.058459
1760380451.920831,466792.000,9898,1,EA,1,100,0.058527
1760380451.987328,466858.500,9917,2,EA,1,100,0.058355
1760380452.053823,466925.000,9917,2,EA,1,100,0.058207
1760380452.120819,466992.000,9934,1,EA,1,100,0.058084
1760380452.187315,467058.500,9952,2,EA,1,100,0.058064
1760380452.253811,467125.000,9952,2,EA,1,100,0.058181
1760380452.320807,467192.000,9972,1,EA,1,100,0.058245
1760380452.387303,467258.500,9990,2,EA,1,100,0.058206
1760380452.453799,467325.000,9990,2,EA,1,100,0.058244
1760380452.520795,467392.000,10006,2,EA,1,100,0.058449
1760380452.587791,467459.000,10006,2,EA,1,100,0.058453
1760380452.653787,467525.000,10027,1,EA,1,100,0.058298
1760380452.720283,467591.500,10042,2,EA,1,100,0.058155
1760380452.786779,467658.000,10042,2,EA,1,100,0.058032
1760380452.853775,467725.000,10059,1,EA,1,100,0.058052
1760380452.920771,467792.000,10075,2,EA,1,100,0.058242
1760380452.987767,467859.000,10075,2,EA,1,100,0.058280
1760380453.053763,467925.000,10092,1,EA,1,100,0.058220
1760380453.120259,467991.500,10107,2,EA,1,100,0.058206
1760380453.186755,468058.000,10107,2,EA,1,100,0.058430
1760380453.253751,468125.000,10124,1,EA,1,100,0.058374
1760380453.320247,468191.500,10142,2,EA,1,100,0.058187
1760380453.386743,468258.000,10142,2,EA,1,100,0.058036
1760380453.453739,468325.000,10160,1,EA,1,100,0.057947
1760380453.520235,468391.500,10174,2,EA,1,100,0.058060
1760380453.586731,468458.000,10174,2,EA,1,100,0.058184
1760380453.653727,468525.000,10191,1,EA,1,100,0.058206
1760380453.720223,468591.500,10210,2,EA,1,100,0.058162
1760380453.786719,468658.000,10210,2,EA,1,100,0.058332
1760380453.853715,468725.000,10227,1,EA,1,100,0.058414
1760380453.920211,468791.500,10241,2,EA,1,100,0.058250
1760380453.986707,468858.000,10241,2,EA,1,100,0.058073
1760380454.053703,468925.000,10260,1,EA,1,100,0.057929
1760380454.120199,468991.500,10277,2,EA,1,100,0.057908
1760380454.186695,469058.000,10277,2,EA,1,100,0.058095
1760380454.253690,469125.000,10294,1,EA,1,100,0.058196
1760380454.320187,469191.500,10309,2,EA,1,100,0.058161
1760380454.386683,469258.000,10309,2,EA,1,100,0.058100
1760380454.453678,469325.000,10326,1,EA,1,100,0.058275
1760380454.520175,469391.500,10342,2,EA,1,100,0.058330
1760380454.586670,469458.000,10342,2,EA,1,100,0.058188
1760380454.653666,469525.000,10361,2,EA,1,100,0.058051
1760380454.720662,469592.000,10361,2,EA,1,100,0.057958
1760380454.786658,469658.000,10378,1,EA,1,100,0.057981
1760380454.853654,469725.000,10393,2,EA,1,100,0.058153
1760380454.920650,469792.000,10393,2,EA,1,100,0.058179
1760380454.986646,469858.000,10409,1,EA,1,100,0.058097
1760380455.053642,469925.000,10427,2,EA,1,100,0.058310
1760380455.120638,469992.000,10427,2,EA,1,100,0.058380
1760380455.186634,470058.000,10445,1,EA,1,100,0.058203
1760380455.253630,470125.000,10460,2,EA,1,100,0.058047
1760380455.320626,470192.000,10460,2,EA,1,100,0.057906
1760380455.386622,470258.000,10478,1,EA,1,100,0.057934
1760380455.453618,470325.000,10496,2,EA,1,100,0.058077
1760380455.520614,470392.000,10496,2,EA,1,100,0.058157
1760380455.586610,470458.000,10512,1,EA,1,100,0.058136
1760380455.653606,470525.000,10527,2,EA,1,100,0.058194
1760380455.720602,470592.000,10527,2,EA,1,100,0.058364
1760380455.786598,470658.000,10544,1,EA,1,100,0.058300
1760380455.853594,470725.000,10561,2,EA,1,100,0.058125
1760380455.920590,470792.000,10561,2,EA,1,100,0.057968
1760380455.986586,470858.000,10577,1,EA,1,100,0.057885
1760380456.053082,470924.500,10593,2,EA,1,100,0.057961
1760380456.119578,470991.000,10593,2,EA,1,100,0.058096
1760380456.186574,471058.000,10609,1,EA,1,100,0.058087
1760380456.253070,471124.500,10626,2,EA,1,100,0.058028
1760380456.319566,471191.000,10626,2,EA,1,100,0.058062
1760380456.386562,471258.000,10642,1,EA,1,100,0.058213
1760380456.453058,471324.500,10659,2,EA,1,100,0.058234
1760380456.519554,471391.000,10659,2,EA,1,100,0.058115
1760380456.586550,471458.000,10674,2,EA,1,100,0.058021
