LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760380448.909014,463780.000,9400,1,HR,1,100,84.98
1760380450.108941,464980.000,9598,1,HR,1,100,77.21
1760380451.401863,466273.000,9812,1,HR,1,100,70.47
1760380452.681786,467553.000,10021,1,HR,1,100,65.23
1760380453.401742,468273.000,10138,1,HR,1,100,69.25
1760380453.721723,468593.000,10205,1,HR,1,100,95.53
1760380454.081701,468953.000,10256,1,HR,1,100,111.34
1760380454.721662,469593.000,10357,1,HR,1,100,107.43
1760380455.401621,470273.000,10474,1,HR,1,100,103.16
1760380456.721541,471593.000,10689,1,HR,1,100,90.34
1760380457.481495,472353.000,10831,1,HR,1,100,87.81
1760380457.961467,472833.000,10898,1,HR,1,100,96.07
1760380458.761418,473633.000,11032,1,HR,1,100,91.39
1760380459.280387,474152.000,11118,1,HR,1,100,96.72
1760380459.840353,474712.000,11221,1,HR,1,100,99.04
1760380460.600307,475472.000,11337,1,HR,1,100,94.57
1760380461.480254,476352.000,11487,1,HR,1,100,88.71
1760380461.974224,476846.000,11574,1,HR,1,100,96.77
1760380462.774176,477646.000,11713,1,HR,1,100,91.93
1760380463.213149,478085.000,11783,1,HR,1,100,101.81
1760380463.933106,478805.000,11900,1,HR,1,100,97.70
1760380464.493072,479365.000,12001,1,HR,1,100,99.80
1760380465.293023,480165.000,12135,1,HR,1,100,94.29
1760380465.812992,480685.000,12220,1,HR,1,100,98.98
1760380467.092915,481965.000,12419,1,HR,1,100,87.40
1760380467.892866,482765.000,12559,1,HR,1,100,84.64
1760380468.532828,483405.000,12676,1,HR,1,100,86.67
1760380469.652760,484525.000,12860,1,HR,1,100,79.31
1760380470.332719,485205.000,12962,1,HR,1,100,81.30
1760380470.972680,485845.000,13077,1,HR,1,100,84.06
1760380471.505648,486378.000,13162,1,HR,1,100,91.02
1760380472.265602,487138.000,13285,1,HR,1,100,88.34
1760380473.545525,488418.000,13509,1,HR,1,100,79.13
1760380474.705455,489578.000,13691,1,HR,1,100,73.04
1760380476.024375,490897.000,13908,1,HR,1,100,66.91
1760380476.864324,491737.000,14042,1,HR,1,100,67.91
1760380477.304298,492177.000,14130,1,HR,1,100,83.12
1760380478.144247,493017.000,14269,1,HR,1,100,80.52
1760380478.624218,493497.000,14356,1,HR,1,100,90.41
1760380479.384172,494257.000,14473,1,HR,1,100,87.86
1760380479.824145,494697.000,14560,1,HR,1,100,98.64
1760380480.704092,495577.000,14694,1,HR,1,100,91.87
1760380481.277057,496150.000,14795,1,HR,1,100,95.27
1760380481.997014,496870.000,14914,1,HR,1,100,92.61
1760380482.436987,497310.000,14985,1,HR,1,100,102.34
1760380483.276937,498150.000,15142,1,HR,1,100,95.47
1760380483.836903,498710.000,15223,1,HR,1,100,98.06
1760380484.636854,499510.000,15360,1,HR,1,100,92.94
1760380485.156823,500030.000,15444,1,HR,1,100,97.93
1760380485.956775,500830.000,15579,1,HR,1,100,92.83
1760380486.396748,501270.000,15647,1,HR,1,100,102.51
1760380487.676671,502550.000,15866,1,HR,1,100,90.14
1760380488.556617,503430.000,16008,1,HR,1,100,85.26
1760380488.956594,503830.000,16077,1,HR,1,100,99.65
1760380489.835540,504709.000,16227,1,HR,1,100,92.66
1760380490.195518,505069.000,16298,1,HR,1,100,109.10
1760380491.115463,505989.000,16446,1,HR,1,100,99.35
1760380492.808361,507682.000,16719,1,HR,1,100,85.21
1760380494.088283,508962.000,16941,1,HR,1,100,76.69
1760380494.928233,509802.000,17077,1,HR,1,100,75.52
1760380495.448201,510322.000,17161,1,HR,1,100,84.38
1760380496.208155,511082.000,17296,1,HR,1,100,83.17
1760380496.688126,511562.000,17382,1,HR,1,100,92.47
1760380497.168097,512042.000,17449,1,HR,1,100,99.70
