LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760380448.109062,462980.000,9269,3,PI,1,100,168450
1760380448.109062,462980.000,9269,3,PI,1,100,168474
1760380448.109062,462980.000,9269,3,PI,1,100,168445
1760380448.149060,463020.000,9286,3,PI,1,100,168419
1760380448.189057,463060.000,9286,3,PI,1,100,168392
1760380448.229055,463100.000,9286,3,PI,1,100,168331
1760380448.269052,463140.000,9302,2,PI,1,100,168297
1760380448.309050,463180.000,9302,2,PI,1,100,168290
1760380448.349047,463220.000,9319,3,PI,1,100,168266
1760380448.389045,463260.000,9319,3,PI,1,100,168250
1760380448.429043,463300.000,9319,3,PI,1,100,168286
1760380448.469040,463340.000,9334,2,PI,1,100,168308
1760380448.509038,463380.000,9334,2,PI,1,100,168293
1760380448.549035,463420.000,9351,3,PI,1,100,168267
1760380448.589033,463460.000,9351,3,PI,1,100,168216
1760380448.629030,463500.000,9351,3,PI,1,100,168159
1760380448.669028,463540.000,9367,2,PI,1,100,168119
1760380448.709026,463580.000,9367,2,PI,1,100,168139
1760380448.749023,463620.000,9385,3,PI,1,100,168174
1760380448.789021,463660.000,9385,3,PI,1,100,168186
1760380448.829018,463700.000,9385,3,PI,1,100,168238
1760380448.869016,463740.000,9401,2,PI,1,100,168261
1760380448.909014,463780.000,9401,2,PI,1,100,168253
1760380448.949011,463820.000,9418,3,PI,1,100,168223
1760380448.989009,463860.000,9418,3,PI,1,100,168219
1760380449.029006,463900.000,9418,3,PI,1,100,168232
1760380449.069004,463940.000,9435,2,PI,1,100,168243
1760380449.109001,463980.000,9435,2,PI,1,100,168264
1760380449.148999,464020.000,9452,3,PI,1,100,168279
1760380449.188997,464060.000,9452,3,PI,1,100,168289
1760380449.228994,464100.000,9452,3,PI,1,100,168304
1760380449.268992,464140.000,9466,2,PI,1,100,168266
1760380449.308989,464180.000,9466,2,PI,1,100,168200
1760380449.348987,464220.000,9483,3,PI,1,100,168242
1760380449.388984,464260.000,9483,3,PI,1,100,168273
1760380449.428982,464300.000,9483,3,PI,1,100,168240
1760380449.468980,464340.000,9500,2,PI,1,100,168203
1760380449.508977,464380.000,9500,2,PI,1,100,168172
1760380449.548975,464420.000,9517,3,PI,1,100,168119
1760380449.588972,464460.000,9517,3,PI,1,100,168080
1760380449.628970,464500.000,9517,3,PI,1,100,168074
1760380449.668968,464540.000,9532,3,PI,1,100,168099
1760380449.708965,464580.000,9532,3,PI,1,100,168093
1760380449.748963,464620.000,9532,3,PI,1,100,168098
1760380449.788960,464660.000,9549,2,PI,1,100,168109
1760380449.828958,464700.000,9549,2,PI,1,100,168092
1760380449.868956,464740.000,9565,3,PI,1,100,168087
1760380449.908953,464780.000,9565,3,PI,1,100,168042
1760380449.948951,464820.000,9565,3,PI,1,100,168007
1760380449.988948,464860.000,9582,2,PI,1,100,168032
1760380450.028946,464900.000,9582,2,PI,1,100,168106
1760380450.068944,464940.000,9600,3,PI,1,100,168114
1760380450.108941,464980.000,9600,3,PI,1,100,168134
1760380450.148939,465020.000,9600,3,PI,1,100,168150
1760380450.188936,465060.000,9616,2,PI,1,100,168126
1760380450.228934,465100.000,9616,2,PI,1,100,168131
1760380450.268931,465140.000,9632,3,PI,1,100,168115
1760380450.308929,465180.000,9632,3,PI,1,100,168130
1760380450.348927,465220.000,9632,3,PI,1,100,168142
1760380450.388924,465260.000,9650,2,PI,1,100,168163
1760380450.428922,465300.000,9650,2,PI,1,100,168160
1760380450.468919,465340.000,9666,3,PI,1,100,168195
1760380450.508917,465380.000,9666,3,PI,1,100,168191
1760380450.548914,465420.000,9666,3,PI,1,100,168189
1760380450.588912,465460.000,9681,2,PI,1,100,168157
1760380450.628910,465500.000,9681,2,PI,1,100,168172
1760380450.668907,465540.000,9697,3,PI,1,100,168201
1760380450.708905,465580.000,9697,3,PI,1,100,168192
1760380450.748902,465620.000,9697,3,PI,1,100,168148
1760380450.788900,465660.000,9715,2,PI,1,100,168104
1760380450.828897,465700.000,9715,2,PI,1,100,168040
1760380450.868895,465740.000,9731,3,PI,1,100,168010
1760380450.908893,465780.000,9731,3,PI,1,100,167974
1760380450.948890,465820.000,9731,3,PI,1,100,167997
1760380450.988888,465860.000,9746,3,PI,1,100,168008
1760380451.028885,465900.000,9746,3,PI,1,100,168025
1760380451.068883,465940.000,9746,3,PI,1,100,168017
1760380451.108881,465980.000,9763,2,PI,1,100,167995
1760380451.148878,466020.000,9763,2,PI,1,100,167969
1760380451.188876,466060.000,9780,3,PI,1,100,167952
1760380451.228873,466100.000,9780,3,PI,1,100,167927
1760380451.268871,466140.000,9780,3,PI,1,100,167977
1760380451.315368,466186.500,9796,2,PI,1,100,168006
1760380451.361865,466233.000,9796,2,PI,1,100,168024
1760380451.401863,466273.000,9814,2,PI,1,100,168049
1760380451.441860,466313.000,9814,2,PI,1,100,168062
1760380451.481858,466353.000,9830,3,PI,1,100,168061
1760380451.521856,466393.000,9830,3,PI,1,100,168096
1760380451.561853,466433.000,9830,3,PI,1,100,168084
1760380451.601851,466473.000,9847,2,PI,1,100,168083
1760380451.641848,466513.000,9847,2,PI,1,100,168102
1760380451.681846,466553.000,9863,3,PI,1,100,168115
1760380451.721843,466593.000,9863,3,PI,1,100,168115
1760380451.761841,466633.000,9863,3,PI,1,100,168140
1760380451.801839,466673.000,9879,2,PI,1,100,168178
1760380451.841836,466713.000,9879,2,PI,1,100,168180
1760380451.881834,466753.000,9895,3,PI,1,100,168115
1760380451.921831,466793.000,9895,3,PI,1,100,168157
1760380451.961829,466833.000,9895,3,PI,1,100,168224
1760380452.001827,466873.000,9914,3,PI,1,100,168215
1760380452.041824,466913.000,9914,3,PI,1,100,168224
1760380452.081822,466953.000,9914,3,PI,1,100,168217
1760380452.121819,466993.000,9931,2,PI,1,100,168185
1760380452.161817,467033.000,9931,2,PI,1,100,168132
1760380452.201815,467073.000,9949,3,PI,1,100,168099
1760380452.241812,467113.000,9949,3,PI,1,100,168087
1760380452.281810,467153.000,9949,3,PI,1,100,168077
1760380452.321807,467193.000,9969,2,PI,1,100,168065
1760380452.361805,467233.000,9969,2,PI,1,100,168032
1760380452.401803,467273.000,9987,3,PI,1,100,168020
1760380452.441800,467313.000,9987,3,PI,1,100,168008
1760380452.481798,467353.000,9987,3,PI,1,100,168003
1760380452.521795,467393.000,10003,2,PI,1,100,168007
1760380452.561793,467433.000,10003,2,PI,1,100,168011
1760380452.601790,467473.000,10024,3,PI,1,100,168040
1760380452.641788,467513.000,10024,3,PI,1,100,168048
1760380452.681786,467553.000,10024,3,PI,1,100,168081
1760380452.721783,467593.000,10039,2,PI,1,100,168138
