LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760380448.109062,462980.000,9270,3,PR,1,100,125211
1760380448.109062,462980.000,9270,3,PR,1,100,125186
1760380448.109062,462980.000,9270,3,PR,1,100,125171
1760380448.149060,463020.000,9287,3,PR,1,100,125177
1760380448.189057,463060.000,9287,3,PR,1,100,125169
1760380448.229055,463100.000,9287,3,PR,1,100,125138
1760380448.269052,463140.000,9303,2,PR,1,100,125127
1760380448.309050,463180.000,9303,2,PR,1,100,125110
1760380448.349047,463220.000,9320,3,PR,1,100,125123
1760380448.389045,463260.000,9320,3,PR,1,100,125100
1760380448.429043,463300.000,9320,3,PR,1,100,125104
1760380448.469040,463340.000,9335,2,PR,1,100,125105
1760380448.509038,463380.000,9335,2,PR,1,100,125092
1760380448.549035,463420.000,9352,3,PR,1,100,125083
1760380448.589033,463460.000,9352,3,PR,1,100,125073
1760380448.629030,463500.000,9352,3,PR,1,100,125073
1760380448.669028,463540.000,9368,2,PR,1,100,125062
1760380448.709026,463580.000,9368,2,PR,1,100,125065
1760380448.749023,463620.000,9386,3,PR,1,100,125074
1760380448.789021,463660.000,9386,3,PR,1,100,125072
1760380448.829018,463700.000,9386,3,PR,1,100,125093
1760380448.869016,463740.000,9402,2,PR,1,100,125091
1760380448.909014,463780.000,9402,2,PR,1,100,125089
1760380448.949011,463820.000,9419,3,PR,1,100,125105
1760380448.989009,463860.000,9419,3,PR,1,100,125104
1760380449.029006,463900.000,9419,3,PR,1,100,125107
1760380449.069004,463940.000,9436,2,PR,1,100,125108
1760380449.109001,463980.000,9436,2,PR,1,100,125112
1760380449.148999,464020.000,9453,3,PR,1,100,125113
1760380449.188997,464060.000,9453,3,PR,1,100,125107
1760380449.228994,464100.000,9453,3,PR,1,100,125104
1760380449.268992,464140.000,9467,2,PR,1,100,125090
1760380449.308989,464180.000,9467,2,PR,1,100,125103
1760380449.348987,464220.000,9484,3,PR,1,100,125112
1760380449.388984,464260.000,9484,3,PR,1,100,125137
1760380449.428982,464300.000,9484,3,PR,1,100,125129
1760380449.468980,464340.000,9501,2,PR,1,100,125113
1760380449.508977,464380.000,9501,2,PR,1,100,125114
1760380449.548975,464420.000,9518,3,PR,1,100,125109
1760380449.588972,464460.000,9518,3,PR,1,100,125094
1760380449.628970,464500.000,9518,3,PR,1,100,125071
1760380449.668968,464540.000,9533,3,PR,1,100,125082
1760380449.708965,464580.000,9533,3,PR,1,100,125081
1760380449.748963,464620.000,9533,3,PR,1,100,125054
1760380449.788960,464660.000,9550,2,PR,1,100,125057
1760380449.828958,464700.000,9550,2,PR,1,100,125036
1760380449.868956,464740.000,9566,3,PR,1,100,125025
1760380449.908953,464780.000,9566,3,PR,1,100,125032
1760380449.948951,464820.000,9566,3,PR,1,100,125043
1760380449.988948,464860.000,9583,2,PR,1,100,125047
1760380450.028946,464900.000,9583,2,PR,1,100,125056
1760380450.068944,464940.000,9601,3,PR,1,100,125049
1760380450.108941,464980.000,9601,3,PR,1,100,125068
1760380450.148939,465020.000,9601,3,PR,1,100,125075
1760380450.188936,465060.000,9617,2,PR,1,100,125097
1760380450.228934,465100.000,9617,2,PR,1,100,125087
1760380450.268931,465140.000,9633,3,PR,1,100,125107
1760380450.308929,465180.000,9633,3,PR,1,100,125090
1760380450.348927,465220.000,9633,3,PR,1,100,125100
1760380450.388924,465260.000,9651,2,PR,1,100,125079
1760380450.428922,465300.000,9651,2,PR,1,100,125079
1760380450.468919,465340.000,9667,3,PR,1,100,125073
1760380450.508917,465380.000,9667,3,PR,1,100,125065
1760380450.548914,465420.000,9667,3,PR,1,100,125089
1760380450.588912,465460.000,9682,2,PR,1,100,125125
1760380450.628910,465500.000,9682,2,PR,1,100,125109
1760380450.668907,465540.000,9698,3,PR,1,100,125111
1760380450.708905,465580.000,9698,3,PR,1,100,125085
1760380450.748902,465620.000,9698,3,PR,1,100,125090
1760380450.788900,465660.000,9716,2,PR,1,100,125073
1760380450.828897,465700.000,9716,2,PR,1,100,125069
1760380450.868895,465740.000,9732,3,PR,1,100,125035
1760380450.908893,465780.000,9732,3,PR,1,100,125014
1760380450.948890,465820.000,9732,3,PR,1,100,125020
1760380450.988888,465860.000,9747,3,PR,1,100,124999
1760380451.028885,465900.000,9747,3,PR,1,100,124998
1760380451.068883,465940.000,9747,3,PR,1,100,124998
1760380451.108881,465980.000,9764,2,PR,1,100,125012
1760380451.148878,466020.000,9764,2,PR,1,100,124986
1760380451.188876,466060.000,9781,3,PR,1,100,125004
1760380451.228873,466100.000,9781,3,PR,1,100,125035
1760380451.268871,466140.000,9781,3,PR,1,100,125024
1760380451.315368,466186.500,9797,2,PR,1,100,125039
1760380451.361865,466233.000,9797,2,PR,1,100,125044
1760380451.401863,466273.000,9815,2,PR,1,100,125078
1760380451.441860,466313.000,9815,2,PR,1,100,125085
1760380451.481858,466353.000,9831,3,PR,1,100,125105
1760380451.521856,466393.000,9831,3,PR,1,100,125093
1760380451.561853,466433.000,9831,3,PR,1,100,125104
1760380451.601851,466473.000,9848,2,PR,1,100,125087
1760380451.641848,466513.000,9848,2,PR,1,100,125091
1760380451.681846,466553.000,9864,3,PR,1,100,125098
1760380451.721843,466593.000,9864,3,PR,1,100,125078
1760380451.761841,466633.000,9864,3,PR,1,100,125089
1760380451.801839,466673.000,9880,2,PR,1,100,125124
1760380451.841836,466713.000,9880,2,PR,1,100,125111
1760380451.881834,466753.000,9896,3,PR,1,100,125118
1760380451.921831,466793.000,9896,3,PR,1,100,125136
1760380451.961829,466833.000,9896,3,PR,1,100,125147
1760380452.001827,466873.000,9915,3,PR,1,100,125168
1760380452.041824,466913.000,9915,3,PR,1,100,125182
1760380452.081822,466953.000,9915,3,PR,1,100,125172
1760380452.121819,466993.000,9932,2,PR,1,100,125161
1760380452.161817,467033.000,9932,2,PR,1,100,125138
1760380452.201815,467073.000,9950,3,PR,1,100,125110
1760380452.241812,467113.000,9950,3,PR,1,100,125088
1760380452.281810,467153.000,9950,3,PR,1,100,125083
1760380452.321807,467193.000,9970,2,PR,1,100,125072
1760380452.361805,467233.000,9970,2,PR,1,100,125068
1760380452.401803,467273.000,9988,3,PR,1,100,125063
1760380452.441800,467313.000,9988,3,PR,1,100,125056
1760380452.481798,467353.000,9988,3,PR,1,100,125055
1760380452.521795,467393.000,10004,2,PR,1,100,125046
1760380452.561793,467433.000,10004,2,PR,1,100,125077
1760380452.601790,467473.000,10025,3,PR,1,100,125078
1760380452.641788,467513.000,10025,3,PR,1,100,125096
1760380452.681786,467553.000,10025,3,PR,1,100,125098
1760380452.721783,467593.000,10040,2,PR,1,100,125134
1760380452.761781,467633.000,10040,2,PR,1,100,125153
1760380452.801778,467673.000,10057,3,PR,1,100,125158
1760380452.841776,467713.000,10057,3,PR,1,100,125159
1760380452.881773,467753.000,10057,3,PR,1,100,125165
1760380452.921771,467793.000,10073,2,PR,1,100,125144
1760380452.961769,467833.000,10073,2,PR,1,100,125138
1760380453.001766,467873.000,10090,3,PR,1,100,125129
1760380453.041764,467913.000,10090,3,PR,1,100,125139
1760380453.081761,467953.000,10090,3,PR,1,100,125127
1760380453.121759,467993.000,10105,2,PR,1,100,125133
1760380453.161757,468033.000,10105,2,PR,1,100,125116
1760380453.201754,468073.000,10122,3,PR,1,100,125109
1760380453.241752,468113.000,10122,3,PR,1,100,125123
1760380453.281749,468153.000,10122,3,PR,1,100,125125
1760380453.321747,468193.000,10140,3,PR,1,100,125114
1760380453.361744,468233.000,10140,3,PR,1,100,125137
1760380453.401742,468273.000,10140,3,PR,1,100,125145
1760380453.441740,468313.000,10158,2,PR,1,100,125125
1760380453.481737,468353.000,10158,2,PR,1,100,125116
1760380453.521735,468393.000,10172,3,PR,1,100,125103
1760380453.561732,468433.000,10172,3,PR,1,100,125090
1760380453.601730,468473.000,10172,3,PR,1,100,125091
1760380453.641727,468513.000,10189,2,PR,1,100,125079
1760380453.681725,468553.000,10189,2,PR,1,100,125098
1760380453.721723,468593.000,10208,3,PR,1,100,125116
1760380453.761720,468633.000,10208,3,PR,1,100,125123
1760380453.801718,468673.000,10208,3,PR,1,100,125111
1760380453.841715,468713.000,10225,2,PR,1,100,125139
1760380453.881713,468753.000,10225,2,PR,1,100,125127
1760380453.921711,468793.000,10239,3,PR,1,100,125141
1760380453.961708,468833.000,10239,3,PR,1,100,125122
1760380454.001706,468873.000,10239,3,PR,1,100,125143
1760380454.041703,468913.000,10258,2,PR,1,100,125160
1760380454.081701,468953.000,10258,2,PR,1,100,125177
1760380454.121699,468993.000,10275,3,PR,1,100,125156
1760380454.161696,469033.000,10275,3,PR,1,100,125150
1760380454.201694,469073.000,10275,3,PR,1,100,125141
1760380454.241691,469113.000,10292,2,PR,1,100,125136
1760380454.281689,469153.000,10292,2,PR,1,100,125125
1760380454.321687,469193.000,10307,3,PR,1,100,125123
1760380454.361684,469233.000,10307,3,PR,1,100,125107
1760380454.401682,469273.000,10307,3,PR,1,100,125101
1760380454.441679,469313.000,10324,2,PR,1,100,125074
1760380454.481677,469353.000,10324,2,PR,1,100,125075
1760380454.521674,469393.000,10340,3,PR,1,100,125075
1760380454.561672,469433.000,10340,3,PR,1,100,125079
1760380454.601670,469473.000,10340,3,PR,1,100,125074
1760380454.641667,469513.000,10359,3,PR,1,100,125108
1760380454.681665,469553.000,10359,3,PR,1,100,125126
1760380454.721662,469593.000,10359,3,PR,1,100,125133
1760380454.761660,469633.000,10376,2,PR,1,100,125117
1760380454.801657,469673.000,10376,2,PR,1,100,125087
1760380454.841655,469713.000,10391,3,PR,1,100,125104
1760380454.881653,469753.000,10391,3,PR,1,100,125103
1760380454.921650,469793.000,10391,3,PR,1,100,125102
1760380454.961648,469833.000,10407,2,PR,1,100,125105
1760380455.001645,469873.000,10407,2,PR,1,100,125105
1760380455.041643,469913.000,10425,3,PR,1,100,125074
1760380455.081640,469953.000,10425,3,PR,1,100,125053
1760380455.121638,469993.000,10425,3,PR,1,100,125038
1760380455.161636,470033.000,10443,2,PR,1,100,125032
1760380455.201633,470073.000,10443,2,PR,1,100,125049
1760380455.241631,470113.000,10458,3,PR,1,100,125054
1760380455.281628,470153.000,10458,3,PR,1,100,125068
1760380455.321626,470193.000,10458,3,PR,1,100,125074
1760380455.361624,470233.000,10476,2,PR,1,100,125084
1760380455.401621,470273.000,10476,2,PR,1,100,125076
1760380455.441619,470313.000,10494,3,PR,1,100,125082
1760380455.481616,470353.000,10494,3,PR,1,100,125085
1760380455.521614,470393.000,10494,3,PR,1,100,125085
1760380455.561611,470433.000,10510,2,PR,1,100,125086
1760380455.601609,470473.000,10510,2,PR,1,100,125071
1760380455.641607,470513.000,10525,3,PR,1,100,125071
1760380455.681604,470553.000,10525,3,PR,1,100,125102
1760380455.721602,470593.000,10525,3,PR,1,100,125137
1760380455.761600,470633.000,10542,3,PR,1,100,125157
1760380455.801597,470673.000,10542,3,PR,1,100,125157
1760380455.841595,470713.000,10542,3,PR,1,100,125148
1760380455.881592,470753.000,10559,2,PR,1,100,125181
1760380455.921590,470793.000,10559,2,PR,1,100,125175
1760380455.961587,470833.000,10575,3,PR,1,100,125168
1760380456.001585,470873.000,10575,3,PR,1,100,125138
1760380456.041583,470913.000,10575,3,PR,1,100,125135
1760380456.081580,470953.000,10591,2,PR,1,100,125119
1760380456.121578,470993.000,10591,2,PR,1,100,125109
1760380456.161575,471033.000,10607,3,PR,1,100,125100
1760380456.201573,471073.000,10607,3,PR,1,100,125109
1760380456.241570,471113.000,10607,3,PR,1,100,125094
1760380456.281568,471153.000,10624,2,PR,1,100,125080
1760380456.321566,471193.000,10624,2,PR,1,100,125040
1760380456.361563,471233.000,10640,3,PR,1,100,125047
1760380456.401561,471273.000,10640,3,PR,1,100,125058
1760380456.441558,471313.000,10640,3,PR,1,100,125062
1760380456.481556,471353.000,10657,2,PR,1,100,125055
1760380456.521554,471393.000,10657,2,PR,1,100,125054
1760380456.561551,471433.000,10672,3,PR,1,100,125065
1760380456.601549,471473.000,10672,3,PR,1,100,125070
1760380456.641546,471513.000,10672,3,PR,1,100,125085
1760380456.681544,471553.000,10691,2,PR,1,100,125091
1760380456.721541,471593.000,10691,2,PR,1,100,125092
1760380456.761539,471633.000,10708,3,PR,1,100,125099
1760380456.801537,471673.000,10708,3,PR,1,100,125111
1760380456.841534,471713.000,10708,3,PR,1,100,125124
1760380456.881532,471753.000,10725,2,PR,1,100,125114
1760380456.921529,471793.000,10725,2,PR,1,100,125121
1760380456.961527,471833.000,10739,3,PR,1,100,125120
1760380457.001524,471873.000,10739,3,PR,1,100,125120
1760380457.041522,471913.000,10739,3,PR,1,100,125114
1760380457.081520,471953.000,10757,3,PR,1,100,125107
1760380457.121517,471993.000,10757,3,PR,1,100,125121
1760380457.161515,472033.000,10757,3,PR,1,100,125096
1760380457.201512,472073.000,10777,2,PR,1,100,125090
1760380457.241510,472113.000,10777,2,PR,1,100,125082
1760380457.281507,472153.000,10794,3,PR,1,100,125086
1760380457.321505,472193.000,10794,3,PR,1,100,125064
1760380457.361503,472233.000,10794,3,PR,1,100,125082
1760380457.401500,472273.000,10814,2,PR,1,100,125076
1760380457.441498,472313.000,10814,2,PR,1,100,125059
1760380457.481495,472353.000,10833,3,PR,1,100,125077
1760380457.521493,472393.000,10833,3,PR,1,100,125093
1760380457.561491,472433.000,10833,3,PR,1,100,125097
1760380457.601488,472473.000,10849,2,PR,1,100,125063
1760380457.641486,472513.000,10849,2,PR,1,100,125058
1760380457.681484,472553.000,10866,3,PR,1,100,125040
1760380457.721481,472593.000,10866,3,PR,1,100,125039
1760380457.761479,472633.000,10866,3,PR,1,100,125023
1760380457.801476,472673.000,10882,3,PR,1,100,125043
1760380457.841474,472713.000,10882,3,PR,1,100,125042
