LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760380447.988069,462859.000,9267,1,SR,1,100,0.066667
1760380451.853836,466725.000,9913,1,SR,1,100,0.066667
1760380452.521795,467393.000,10023,1,SR,1,100,0.066667
1760380455.054642,469926.000,10441,1,SR,1,100,0.066667
1760380457.053521,471925.000,10775,1,SR,1,100,0.066667
1760380458.253449,473125.000,10999,1,SR,1,100,0.200000
1760380458.986405,473858.000,11099,1,SR,1,100,0.066667
1760380459.652364,474524.000,11202,1,SR,1,100,0.066667
1760380460.919288,475791.000,11420,1,SR,1,100,0.133333
1760380461.586247,476458.000,11521,1,SR,1,100,0.066667
1760380462.853171,477725.000,11763,1,SR,1,100,0.133333
1760380463.519131,478391.000,11850,1,SR,1,100,0.066667
1760380464.852050,479724.000,12084,1,SR,1,100,0.066667
1760380466.118973,480991.000,12301,1,SR,1,100,0.133333
1760380468.051857,482924.000,12609,1,SR,1,100,0.066667
1760380468.651820,483524.000,12727,1,SR,1,100,0.133333
1760380470.051736,484924.000,12943,1,SR,1,100,0.066667
1760380471.317659,486190.000,13164,1,SR,1,100,0.133333
1760380471.984619,486857.000,13266,1,SR,1,100,0.066667
1760380472.584583,487457.000,13372,1,SR,1,100,0.133333
1760380473.251543,488124.000,13473,1,SR,1,100,0.066667
1760380473.783510,488656.000,13590,1,SR,1,100,0.200000
1760380474.983438,489856.000,13791,1,SR,1,100,0.266667
1760380476.316357,491189.000,13992,1,SR,1,100,0.133333
1760380477.050313,491923.000,14112,1,SR,1,100,0.133333
1760380477.584281,492457.000,14215,1,SR,1,100,0.200000
1760380478.317236,493190.000,14320,1,SR,1,100,0.066667
1760380478.850204,493723.000,14437,1,SR,1,100,0.200000
1760380479.583160,494456.000,14540,1,SR,1,100,0.066667
1760380480.116128,494989.000,14643,1,SR,1,100,0.200000
1760380480.850083,495723.000,14744,1,SR,1,100,0.066667
1760380481.383051,496256.000,14863,1,SR,1,100,0.200000
1760380482.183003,497056.000,14967,1,SR,1,100,0.066667
1760380482.715971,497589.000,15089,1,SR,1,100,0.200000
1760380483.982894,498856.000,15292,1,SR,1,100,0.200000
1760380484.781846,499655.000,15411,1,SR,1,100,0.066667
1760380485.248817,500122.000,15512,1,SR,1,100,0.266667
1760380486.581737,501455.000,15730,1,SR,1,100,0.266667
1760380487.381689,502255.000,15833,1,SR,1,100,0.066667
1760380487.848660,502722.000,15956,1,SR,1,100,0.266667
1760380488.648612,503522.000,16058,1,SR,1,100,0.066667
1760380489.182580,504056.000,16159,1,SR,1,100,0.200000
1760380489.847540,504721.000,16262,1,SR,1,100,0.133333
1760380490.515499,505389.000,16379,1,SR,1,100,0.133333
1760380491.181459,506055.000,16482,1,SR,1,100,0.133333
1760380491.715427,506589.000,16581,1,SR,1,100,0.200000
1760380492.381387,507255.000,16701,1,SR,1,100,0.200000
1760380493.114342,507988.000,16807,1,SR,1,100,0.133333
1760380493.780302,508654.000,16908,1,SR,1,100,0.066667
1760380494.248274,509122.000,17025,1,SR,1,100,0.266667
1760380495.047225,509921.000,17128,1,SR,1,100,0.066667
1760380495.581193,510455.000,17229,1,SR,1,100,0.200000
1760380496.247153,511121.000,17349,1,SR,1,100,0.200000
1760380496.981108,511855.000,17470,1,SR,1,100,0.133333
1760380498.114040,512988.000,17674,1,SR,1,100,0.266667
1760380499.579952,514454.000,17891,1,SR,1,100,0.133333
1760380500.312907,515187.000,18008,1,SR,1,100,0.066667
1760380500.779879,515654.000,18076,1,SR,1,100,0.066667
1760380500.979867,515854.000,18111,1,SR,1,100,0.066667
1760380501.512835,516387.000,18227,1,SR,1,100,0.200000
1760380502.112798,516987.000,18332,1,SR,1,100,0.266667
1760380503.445718,518320.000,18555,1,SR,1,100,0.200000
1760380504.045681,518920.000,18656,1,SR,1,100,0.266667
1760380504.712641,519587.000,18776,1,SR,1,100,0.266667
1760380505.978565,520853.000,18976,1,SR,1,100,0.266667
1760380506.645525,521520.000,19077,1,SR,1,100,0.200000
1760380507.378480,522253.000,19198,1,SR,1,100,0.133333
1760380508.045440,522920.000,19299,1,SR,1,100,0.066667
1760380508.645404,523520.000,19407,1,SR,1,100,0.133333
1760380509.311363,524186.000,19507,1,SR,1,100,0.066667
1760380509.844331,524719.000,19627,1,SR,1,100,0.200000
1760380510.578287,525453.000,19728,1,SR,1,100,0.133333
1760380511.112255,525987.000,19831,1,SR,1,100,0.200000
1760380511.844210,526719.000,19946,1,SR,1,100,0.133333
1760380512.445174,527320.000,20051,1,SR,1,100,0.200000
1760380513.177130,528052.000,20152,1,SR,1,100,0.066667
1760380513.711097,528586.000,20279,1,SR,1,100,0.200000
1760380514.444053,529319.000,20378,1,SR,1,100,0.133333
1760380515.044017,529919.000,20481,1,SR,1,100,0.133333
1760380515.777973,530653.000,20598,1,SR,1,100,0.066667
1760380516.310940,531186.000,20701,1,SR,1,100,0.200000
1760380517.043896,531919.000,20821,1,SR,1,100,0.133333
1760380517.710856,532586.000,20940,1,SR,1,100,0.133333
1760380518.376816,533252.000,21041,1,SR,1,100,0.066667
1760380518.910783,533786.000,21149,1,SR,1,100,0.200000
1760380520.176707,535052.000,21365,1,SR,1,100,0.266667
1760380521.509626,536385.000,21579,1,SR,1,100,0.200000
1760380522.309578,537185.000,21684,1,SR,1,100,0.066667
1760380522.776550,537652.000,21784,1,SR,1,100,0.200000
1760380523.575501,538451.000,21903,1,SR,1,100,0.066667
1760380524.109469,538985.000,22011,1,SR,1,100,0.200000
1760380524.709433,539585.000,22130,1,SR,1,100,0.266667
1760380525.509384,540385.000,22231,1,SR,1,100,0.133333
1760380526.042352,540918.000,22334,1,SR,1,100,0.200000
1760380526.708312,541584.000,22452,1,SR,1,100,0.200000
1760380528.042232,542918.000,22672,1,SR,1,100,0.200000
1760380528.776187,543652.000,22793,1,SR,1,100,0.133333
1760380529.441147,544317.000,22896,1,SR,1,100,0.133333
1760380530.109107,544985.000,22997,1,SR,1,100,0.066667
1760380530.575078,545451.000,23114,1,SR,1,100,0.266667
1760380531.375030,546251.000,23199,1,SR,1,100,0.066667
1760380531.907998,546784.000,23318,1,SR,1,100,0.200000
1760380532.641953,547518.000,23436,1,SR,1,100,0.133333
1760380533.174921,548051.000,23539,1,SR,1,100,0.266667
1760380533.974873,548851.000,23659,1,SR,1,100,0.133333
1760380534.507841,549384.000,23761,1,SR,1,100,0.200000
1760380535.107805,549984.000,23861,1,SR,1,100,0.266667
1760380535.907756,550784.000,23980,1,SR,1,100,0.133333
1760380536.507720,551384.000,24081,1,SR,1,100,0.200000
1760380537.173680,552050.000,24202,1,SR,1,100,0.200000
1760380537.906635,552783.000,24301,1,SR,1,100,0.133333
1760380538.440603,553317.000,24421,1,SR,1,100,0.266667
1760380539.240555,554117.000,24527,1,SR,1,100,0.066667
1760380539.773523,554650.000,24645,1,SR,1,100,0.200000
1760380540.506478,555383.000,24747,1,SR,1,100,0.133333
1760380541.106442,555983.000,24865,1,SR,1,100,0.200000
1760380541.773402,556650.000,24966,1,SR,1,100,0.200000
1760380542.373365,557250.000,25054,1,SR,1,100,0.066667
1760380542.573353,557450.000,25087,1,SR,1,100,0.066667
