RD,TS_received,TS_sent,AK,RoundTrip,
467222,467235,2025-10-13_14-34-12-352628,467237,13,
472330,472346,2025-10-13_14-34-17-466331,472348,16,
477454,477468,2025-10-13_14-34-22-584976,477469,14,
482560,482571,2025-10-13_14-34-27-693378,482574,11,
487668,487680,2025-10-13_14-34-32-800846,487681,12,
492793,492818,2025-10-13_14-34-37-935628,492820,25,
497900,497912,2025-10-13_14-34-43-030468,497914,12,
503008,503024,2025-10-13_14-34-48-140570,503025,16,
508133,508151,2025-10-13_14-34-53-267873,508154,18,
513237,513252,2025-10-13_14-34-58-370746,513256,15,
518345,518357,2025-10-13_14-35-03-478502,518358,12,
523473,523486,2025-10-13_14-35-08-607844,523488,13,
528580,528590,2025-10-13_14-35-13-709824,528591,10,
533715,533729,2025-10-13_14-35-18-846376,533734,14,
538827,538841,2025-10-13_14-35-23-959793,538842,14,
543935,543948,2025-10-13_14-35-29-067044,543949,13,
549072,549085,2025-10-13_14-35-34-202761,549086,13,
554179,554191,2025-10-13_14-35-39-313082,554195,12,
559313,559327,2025-10-13_14-35-44-443240,559328,14,
564420,564496,2025-10-13_14-35-49-614228,564497,76,
569531,569546,2025-10-13_14-35-54-664170,569547,15,
574639,574683,2025-10-13_14-35-59-771138,574684,44,
579747,579803,2025-10-13_14-36-04-914641,579804,56,
584855,584890,2025-10-13_14-36-10-007810,584891,35,
